# Global/data names adopted in config/symbols.main.exe.txt.
# datamatch     = reference alignment inside functions named on both sides
#                 (tools/datamatch.py; 100% control precision on 105 addrs)
# datamatch-reloc = the same reference alignment after inferring PSX.SYM data
#                   -> demo PSX.EXE data relocation from 323/323 unique anchors;
#                   raw reverse uniqueness and duplicate-static TU checks apply.
# ghidra-export = already named in the Ghidra program for THIS binary but
#                 never adopted, because import_symbols could only rename
#                 existing entries, not define new ones.
# The historical ghidra-export batch also contains address-keyed SDK/text labels;
# the source column records provenance rather than asserting storage section.
#addr	name	source	evidence	storage	type
800979bc	AttackActionCount	datamatch	VOTES4	EXT	long
800979c4	StrainRatio	ghidra-export	same binary, address-keyed	EXT	long
800979d8	Pad	ghidra-export	same binary, address-keyed	STAT	struct PADtype *
80097a68	sprSmoke	ghidra-export	same binary, address-keyed	EXT	struct Sprite3D *
80097ec4	FieldAttrib	datamatch	VOTES2	EXT	short
80097ef8	dtCMD	datamatch	VOTES6	STAT	short
80097efa	dtPAD	datamatch	VOTES12	STAT	short
80097f04	dtV	datamatch	VOTES9	STAT	struct SVECTOR *
800b8070	Fog	ghidra-export	same binary, address-keyed	EXT	struct GsFOGPARAM
800b80a0	ZSortTable	ghidra-export	same binary, address-keyed	EXT	struct GsOT_TAG [2][2048]
800bc0f8	cv	ghidra-export	same binary, address-keyed	?	?
800bc108	ConflictObject	datamatch	VOTES21	EXT	struct ConflictObjectType [64]
800be688	ComBuf	ghidra-export	same binary, address-keyed	STAT	unsigned char [2][34]
800be750	map	ghidra-export	same binary, address-keyed	?	?
800be908	dmy	ghidra-export	same binary, address-keyed	?	?
800be958	sprBlood	ghidra-export	same binary, address-keyed	STAT	struct GsSPRITE
800bea78	sprSplash	ghidra-export	same binary, address-keyed	STAT	struct GsSPRITE
800beb68	sprBomb	ghidra-export	same binary, address-keyed	STAT	struct Sprite3D *[3]
800beb78	plyBleed	datamatch	VOTES2	STAT	struct POLY_F4
800bfb80	SpriteGoshikimai	ghidra-export	same binary, address-keyed	STAT	struct GsSPRITE
800c07d8	NumberImage	datamatch	VOTES2	STAT	struct GsSPRITE
800c0808	ItemSprite3Ds	ghidra-export	same binary, address-keyed	?	?
800c0898	MapImage	ghidra-export	same binary, address-keyed	STAT	struct GsSPRITE
800c2d08	TelopP	ghidra-export	same binary, address-keyed	STAT	struct POLY_FT4
800c2d70	FileHandlePool	ghidra-export	same binary, address-keyed	?	?
800c6368	PSDOFSX	datamatch	VOTES2	?	?
800c636c	PSDOFSY	datamatch	VOTES2	?	?
800c6370	PSDBASEX	datamatch	VOTES2	?	?
800c6374	PSDBASEY	datamatch	VOTES2	?	?
800c6378	POSITION	datamatch	VOTES3	?	?
800c63e0	GsDISPENV	datamatch	VOTES2	?	?
800c63f4	GsORGOFSX	datamatch	VOTES4	?	?
800c63f6	GsORGOFSY	datamatch	VOTES4	?	?
800c648c	VWD0	datamatch	VOTES4	?	?
800c64a0	GsLIGHTWSMATRIX	datamatch	VOTES4	?	?
800c64c0	_LC	datamatch	VOTES3	?	?
800c6500	GsIDMATRIX	datamatch	VOTES2	?	?
800c6540	GsIDMATRIX2	datamatch	VOTES2	?	?
800c6564	GsLIOFF	datamatch	VOTES2	?	?
800c6568	GsLMODE	datamatch	VOTES2	?	?
800c656c	GsLIGNR	datamatch	VOTES2	?	?
800c6578	GsOUT_PACKET_P	datamatch	VOTES26	?	?
800c6590	GsFCALL4	ghidra-export	same binary, address-keyed	?	?
800c6754	_snd_ev_flag	datamatch	VOTES3	?	?
800c6ff0	_svm_onos1	datamatch	VOTES4	?	?
800c6ff2	_svm_onos2	datamatch	VOTES4	?	?
800c77dc	_svm_pg	datamatch	VOTES3	?	?
800c77e4	_svm_vh	datamatch	VOTES4	?	?
800dc000	MemoryPool	ghidra-export	same binary, address-keyed	?	?

# Calibrated relocation batch (2026-07-15); full address pair and witnesses
# are retained in the evidence column.
8008e5bc	ItemImage	datamatch-reloc	VOTES18;PSX=801d6490;DEMO=801d67e8;WITNESSES=PutItemIcon,PutItemList,ReqItemDokudango,ReqItemDrop,ReqItemFire,ReqItemGoshikimai,ReqItemGosin,ReqItemHenshin,ReqItemJirai,ReqItemKaengeki,ReqItemKawarimi,ReqItemKusuri,ReqItemLightningBolt,ReqItemMakibishi,ReqItemManebue,ReqItemNingyo,ReqItemNinken,ReqItemSmoke	EXT	struct Sprite3D *[25]
